#,obj_tags,obj_count,raw_id,identifier,typ,coord1_(ICRS,J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,bib,not
128,,0,(null),LEDA 1801474,GiC,15 57 56.1383665992 +27 13 24.975448392,~,~,~,~,~,~,9,0
129,,0,(null),2MASX J15575649+2723521,GiC,15 57 56.4827947176 +27 23 52.288619640,~,~,~,~,~,~,9,0
130,,0,(null),2MASX J15575853+2710431,GiC,15 57 58.5544966944 +27 10 43.390284888,~,~,~,~,~,~,8,0
131,,0,(null),2MASX J15580100+2721481,GiC,15 58 01.0008142248 +27 21 48.181130640,~,~,~,~,~,~,9,0
132,,0,(null),2MASX J15580099+2732081,GiC,15 58 01.0272740664 +27 32 08.365255692,~,~,~,~,~,~,5,0
133,,0,(null),2MASX J15580130+2715021,GiC,15 58 01.2724943688 +27 15 02.606852664,~,~,~,~,~,~,9,0
134,,0,(null),LEDA 1800674,GiC,15 58 04.7410155144 +27 11 49.564394448,~,~,~,~,~,~,9,0
135,,0,(null),2MASX J15580506+2705311,GiC,15 58 05.0211146160 +27 05 31.303873824,~,~,~,~,~,~,10,0
136,,0,(null),2MASX J15580640+2716271,BiC,15 58 06.4260171816 +27 16 26.789203560,~,~,~,~,~,~,11,0
137,,0,(null),2MASX J15580745+2714431,GiC,15 58 07.4441557920 +27 14 43.779219972,~,~,~,~,~,~,7,0
138,,0,(null),[OHF95] ACO 2142 208,GiC,15 58 07.9444211160 +27 11 12.134274216,~,~,~,~,~,~,5,0
139,,0,(null),2MASX J15580806+2732581,GiC,15 58 08.0102610576 +27 32 58.523170416,~,~,~,~,~,~,5,0
140,,0,(null),LEDA 1799943,GiC,15 58 08.9322778656 +27 10 22.864908324,~,~,~,~,~,~,9,0
141,,0,(null),LEDA 1796616,GiC,15 58 12.1772471568 +27 03 35.495777916,~,~,~,~,~,~,7,0
142,,0,(null),[OHF95] ACO 2142 230,GiC,15 58 12.7595036856 +27 16 59.317619340,~,~,~,~,~,~,8,0
143,,0,(null),2MASX J15581330+2714531,BiC,15 58 13.2945664080 +27 14 53.232436860,~,16.62,~,~,~,~,20,0
144,,0,(null),LEDA 1803207,GiC,15 58 13.8078777768 +27 16 45.063545664,~,~,~,~,~,~,5,0
145,,0,(null),[OHF95] ACO 2142 226,GiC,15 58 14.0 +27 16 18,~,~,~,~,~,~,3,1
146,,0,(null),2MASX J15581671+2720540,GiC,15 58 16.7073113592 +27 20 53.930914800,~,~,~,~,~,~,10,0
147,,0,(null),LEDA 56522,LIN,15 58 17.45100 +27 16 09.5619,~,~,~,~,~,~,11,0
148,,0,(null),2MASX J15581786+2709370,GiC,15 58 17.8348994112 +27 09 36.909626148,~,~,~,~,~,~,10,0
149,,0,(null),2MASX J15581875+2714210,GiC,15 58 18.7324332456 +27 14 20.752223280,~,~,~,~,~,~,9,0
150,,0,(null),LEDA 56523,GiC,15 58 18.8321476896 +27 32 41.335698480,~,16.49,~,~,~,~,8,0
151,,0,(null),LEDA 1799110,GiC,15 58 19.1183449584 +27 08 47.793498324,~,~,~,~,~,~,7,0
152,,0,(null),2MASX J15582002+2714000,BiC,15 58 20.000 +27 14 00.28,~,14.48,~,~,~,~,39,1
153,,0,(null),2MASX J15582018+2709480,GiC,15 58 20.1359412768 +27 09 48.287755080,~,~,~,~,~,~,10,0
154,,0,(null),2MASX J15582091+2720010,BiC,15 58 20.8826270472 +27 20 01.464333504,~,16.07,~,~,~,~,19,0
155,,0,(null),2MASX J15582102+2705260,GiC,15 58 21.0337302000 +27 05 26.489975928,~,~,~,~,~,~,9,0
156,,0,(null),[OHF95] ACO 2142 216,GiC,15 58 23.0733209808 +27 14 03.079666428,~,~,~,~,~,~,4,0
